material_id,formula,feature,value,direction,threshold,iqr,iqr_distance,scientific_rationale
mp-8001,LiAlO2,band_gap,6.12,Upper,5.8775,1.995,0.12,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-28473,CClF3,band_gap,6.61,Upper,5.8775,1.995,0.37,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-4608,KPF6,band_gap,7.02,Upper,5.8775,1.995,0.57,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-3654,RbCaF3,band_gap,6.4,Upper,5.8775,1.995,0.26,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-8861,Rb2MgF4,band_gap,6.23,Upper,5.8775,1.995,0.18,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-9143,LiPF6,band_gap,7.54,Upper,5.8775,1.995,0.83,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-3589,BPO4,band_gap,7.26,Upper,5.8775,1.995,0.69,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-10492,Rb2SiF6,band_gap,6.99,Upper,5.8775,1.995,0.56,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-13948,Cs2HfF6,band_gap,7.23,Upper,5.8775,1.995,0.68,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-5588,BaSiF6,band_gap,7.42,Upper,5.8775,1.995,0.77,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-2693,SnSe,poly_total,45.7,Upper,27.37,7.925,2.31,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-1186,ZrS2,poly_total,35.9,Upper,27.37,7.925,1.08,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2114,YN,poly_total,120.01,Upper,27.37,7.925,11.69,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2646,Mg3Sb2,poly_total,32.38,Upper,27.37,7.925,0.63,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-760,FeSe2,poly_total,36.83,Upper,27.37,7.925,1.19,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-1522,FeS2,poly_total,27.48,Upper,27.37,7.925,0.01,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-1106,Sr2Si,poly_total,32.16,Upper,27.37,7.925,0.6,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-871,FeSi,poly_total,112.34,Upper,27.37,7.925,10.72,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-1317,CoSb3,poly_total,92.27,Upper,27.37,7.925,8.19,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-23237,BiF3,poly_total,41.19,Upper,27.37,7.925,1.74,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-23291,PbCl2,poly_total,34.55,Upper,27.37,7.925,0.91,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-27488,Ta3N5,poly_total,48.48,Upper,27.37,7.925,2.66,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-22908,BiCl3,poly_total,60.46,Upper,27.37,7.925,4.18,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2517,Ca2Si,poly_total,29.42,Upper,27.37,7.925,0.26,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2160,Sb2Se3,poly_total,63.53,Upper,27.37,7.925,4.56,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2076,ZrSe2,poly_total,58.33,Upper,27.37,7.925,3.91,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-557835,TlF,poly_total,57.69,Upper,27.37,7.925,3.83,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-554278,TiO2,poly_total,35.47,Upper,27.37,7.925,1.02,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2008,FeAs2,poly_total,48.93,Upper,27.37,7.925,2.72,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-304,Ca2Ge,poly_total,29.9,Upper,27.37,7.925,0.32,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-20027,FeP2,poly_total,37.6,Upper,27.37,7.925,1.29,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-558134,TlF,poly_total,39.49,Upper,27.37,7.925,1.53,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-23222,Li3Bi,poly_total,27.41,Upper,27.37,7.925,0.01,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-15661,Sc4C3,poly_total,76.72,Upper,27.37,7.925,6.23,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-15649,As2Ir,poly_total,28.91,Upper,27.37,7.925,0.19,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-1247,Sb2Ir,poly_total,34.62,Upper,27.37,7.925,0.91,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-569152,SnCl2,poly_total,54.82,Upper,27.37,7.925,3.46,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-226,FeS2,poly_total,28.24,Upper,27.37,7.925,0.11,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-8281,Ba(CdAs)2,poly_total,110.48,Upper,27.37,7.925,10.49,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-30460,YNiBi,poly_total,29.37,Upper,27.37,7.925,0.25,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-9919,LiZnSb,poly_total,34.18,Upper,27.37,7.925,0.86,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-10667,SrAgP,poly_total,277.78,Upper,27.37,7.925,31.6,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-15687,KZnAs,poly_total,38.01,Upper,27.37,7.925,1.34,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-27832,Tl2SnCl6,poly_total,100.8,Upper,27.37,7.925,9.27,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7482,RbHgF3,poly_total,77.88,Upper,27.37,7.925,6.37,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7223,Ca3AsN,poly_total,38.3,Upper,27.37,7.925,1.38,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-862631,Ba2SbAu,poly_total,32.41,Upper,27.37,7.925,0.64,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-25010,NaMnO2,poly_total,27.41,Upper,27.37,7.925,0.01,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-15988,Li2CuSb,poly_total,28.8,Upper,27.37,7.925,0.18,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-510624,SrFeO3,poly_total,70.86,Upper,27.37,7.925,5.49,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7435,KCuSe,poly_total,52.03,Upper,27.37,7.925,3.11,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-867192,Sr2AsAu,poly_total,40.06,Upper,27.37,7.925,1.6,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-8978,CsNbN2,poly_total,27.92,Upper,27.37,7.925,0.07,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-867168,Sr2SbAu,poly_total,35.08,Upper,27.37,7.925,0.97,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-5606,AlTlF4,poly_total,96.91,Upper,27.37,7.925,8.77,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7421,KZnAs,poly_total,40.07,Upper,27.37,7.925,1.6,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-20042,TlInS2,poly_total,45.63,Upper,27.37,7.925,2.3,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-5380,Ca4P2O,poly_total,31.26,Upper,27.37,7.925,0.49,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7752,Sr3SbN,poly_total,38.53,Upper,27.37,7.925,1.41,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-614013,CsSnI3,poly_total,169.58,Upper,27.37,7.925,17.94,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-27891,Bi2SO2,poly_total,259.32,Upper,27.37,7.925,29.27,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-505297,NbSbRu,poly_total,38.63,Upper,27.37,7.925,1.42,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7771,Sr(CdAs)2,poly_total,149.16,Upper,27.37,7.925,15.37,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-27849,TiBrN,poly_total,49.04,Upper,27.37,7.925,2.73,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-3395,SrSeO3,poly_total,29.11,Upper,27.37,7.925,0.22,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-9899,BaAgP,poly_total,42.93,Upper,27.37,7.925,1.96,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-866062,HfSiRu2,poly_total,81.95,Upper,27.37,7.925,6.89,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-866141,TiFe2Si,poly_total,66.11,Upper,27.37,7.925,4.89,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-4255,Ba(CuS)2,poly_total,29.33,Upper,27.37,7.925,0.25,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-9517,SrTiN2,poly_total,30.2,Upper,27.37,7.925,0.36,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-8407,Li3LaP2,poly_total,31.35,Upper,27.37,7.925,0.5,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-570008,Sr3BiN,poly_total,46.59,Upper,27.37,7.925,2.43,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-10322,BaHfN2,poly_total,29.96,Upper,27.37,7.925,0.33,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-31454,TaSbRu,poly_total,32.43,Upper,27.37,7.925,0.64,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-10402,TiTl2F6,poly_total,42.08,Upper,27.37,7.925,1.86,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7430,Ca(CdSb)2,poly_total,51.78,Upper,27.37,7.925,3.08,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-12908,ScAgSe2,poly_total,28.61,Upper,27.37,7.925,0.16,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-866132,Na2TlSb,poly_total,172.52,Upper,27.37,7.925,18.32,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-10401,Tl2SnF6,poly_total,41.75,Upper,27.37,7.925,1.81,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-31149,Ca3BiN,poly_total,34.28,Upper,27.37,7.925,0.87,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7438,KZnSb,poly_total,30.09,Upper,27.37,7.925,0.34,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-7067,Ca(CdAs)2,poly_total,52.52,Upper,27.37,7.925,3.17,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-11824,Ca3PN,poly_total,50.66,Upper,27.37,7.925,2.94,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-5967,TiCoSb,poly_total,31.72,Upper,27.37,7.925,0.55,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-23072,BiBrO,poly_total,46.77,Upper,27.37,7.925,2.45,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-27850,TiNCl,poly_total,59.43,Upper,27.37,7.925,4.05,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-12814,Ba3SbN,poly_total,41.81,Upper,27.37,7.925,1.82,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-14791,Ge2Te5As2,poly_total,79.7,Upper,27.37,7.925,6.6,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-9437,NbFeSb,poly_total,45.23,Upper,27.37,7.925,2.25,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-10161,KZnSb,poly_total,29.0,Upper,27.37,7.925,0.21,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-8405,Li3LaSb2,poly_total,31.22,Upper,27.37,7.925,0.49,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-16238,Li2AgSb,poly_total,232.6,Upper,27.37,7.925,25.9,High-k dielectric / soft-mode ferroelectric perovskite candidate
mp-2693,SnSe,poly_electronic,45.7,Upper,13.905,4.31,7.38,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2114,YN,poly_electronic,15.43,Upper,13.905,4.31,0.35,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1115,PtSe2,poly_electronic,15.28,Upper,13.905,4.31,0.32,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1285,PtO2,poly_electronic,21.34,Upper,13.905,4.31,1.73,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2646,Mg3Sb2,poly_electronic,14.8,Upper,13.905,4.31,0.21,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-760,FeSe2,poly_electronic,26.7,Upper,13.905,4.31,2.97,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1522,FeS2,poly_electronic,21.06,Upper,13.905,4.31,1.66,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-471,CdAs2,poly_electronic,15.19,Upper,13.905,4.31,0.3,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-602,Te2Mo,poly_electronic,14.24,Upper,13.905,4.31,0.08,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-28266,P2Pd,poly_electronic,22.6,Upper,13.905,4.31,2.02,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-927,CuP2,poly_electronic,16.3,Upper,13.905,4.31,0.56,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-487,MnP4,poly_electronic,19.51,Upper,13.905,4.31,1.3,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1106,Sr2Si,poly_electronic,16.87,Upper,13.905,4.31,0.69,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-871,FeSi,poly_electronic,90.79,Upper,13.905,4.31,17.84,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2030,RuS2,poly_electronic,16.69,Upper,13.905,4.31,0.65,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1317,CoSb3,poly_electronic,81.92,Upper,13.905,4.31,15.78,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-730,P2Pt,poly_electronic,19.65,Upper,13.905,4.31,1.33,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-570553,FeP4,poly_electronic,19.47,Upper,13.905,4.31,1.29,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1922,RuSe2,poly_electronic,19.58,Upper,13.905,4.31,1.32,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2517,Ca2Si,poly_electronic,15.76,Upper,13.905,4.31,0.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2160,Sb2Se3,poly_electronic,15.76,Upper,13.905,4.31,0.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-17173,Rh2S3,poly_electronic,25.29,Upper,13.905,4.31,2.64,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2008,FeAs2,poly_electronic,30.62,Upper,13.905,4.31,3.88,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-304,Ca2Ge,poly_electronic,16.56,Upper,13.905,4.31,0.62,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-20027,FeP2,poly_electronic,23.05,Upper,13.905,4.31,2.12,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-15661,Sc4C3,poly_electronic,28.67,Upper,13.905,4.31,3.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-15649,As2Ir,poly_electronic,21.36,Upper,13.905,4.31,1.73,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1247,Sb2Ir,poly_electronic,24.86,Upper,13.905,4.31,2.54,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7944,NaSb,poly_electronic,14.14,Upper,13.905,4.31,0.05,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-226,FeS2,poly_electronic,21.21,Upper,13.905,4.31,1.69,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-8281,Ba(CdAs)2,poly_electronic,97.63,Upper,13.905,4.31,19.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-29209,Ba(MgBi)2,poly_electronic,17.09,Upper,13.905,4.31,0.74,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-30460,YNiBi,poly_electronic,26.76,Upper,13.905,4.31,2.98,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-11869,HfSnPd,poly_electronic,19.63,Upper,13.905,4.31,1.33,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-22998,CrSBr,poly_electronic,15.92,Upper,13.905,4.31,0.47,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-9919,LiZnSb,poly_electronic,19.6,Upper,13.905,4.31,1.32,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-10667,SrAgP,poly_electronic,256.84,Upper,13.905,4.31,56.37,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-15687,KZnAs,poly_electronic,33.0,Upper,13.905,4.31,4.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-14983,Si4P4Ru,poly_electronic,15.17,Upper,13.905,4.31,0.29,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-9124,LiZnAs,poly_electronic,15.95,Upper,13.905,4.31,0.47,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-8208,Mg(PtO2)3,poly_electronic,15.02,Upper,13.905,4.31,0.26,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-862631,Ba2SbAu,poly_electronic,18.82,Upper,13.905,4.31,1.14,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7773,Na2AsAu,poly_electronic,15.93,Upper,13.905,4.31,0.47,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7770,Sr(ZnAs)2,poly_electronic,15.47,Upper,13.905,4.31,0.36,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-9198,Fe(SiP)4,poly_electronic,17.0,Upper,13.905,4.31,0.72,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-3161,LiAlSi,poly_electronic,15.55,Upper,13.905,4.31,0.38,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-13097,NaZnAs,poly_electronic,16.71,Upper,13.905,4.31,0.65,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-570213,LiMgBi,poly_electronic,19.53,Upper,13.905,4.31,1.31,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-3432,ScNiSb,poly_electronic,18.37,Upper,13.905,4.31,1.04,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-15988,Li2CuSb,poly_electronic,19.9,Upper,13.905,4.31,1.39,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-510624,SrFeO3,poly_electronic,53.41,Upper,13.905,4.31,9.17,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-8207,Zn(PtO2)3,poly_electronic,15.76,Upper,13.905,4.31,0.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7435,KCuSe,poly_electronic,45.99,Upper,13.905,4.31,7.44,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-867192,Sr2AsAu,poly_electronic,22.62,Upper,13.905,4.31,2.02,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-867168,Sr2SbAu,poly_electronic,22.35,Upper,13.905,4.31,1.96,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-29208,Ca(MgBi)2,poly_electronic,16.75,Upper,13.905,4.31,0.66,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7421,KZnAs,poly_electronic,34.68,Upper,13.905,4.31,4.82,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-2894,ScSnAu,poly_electronic,21.44,Upper,13.905,4.31,1.75,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-8212,Cd(PtO2)3,poly_electronic,17.37,Upper,13.905,4.31,0.8,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-569779,ScSbPd,poly_electronic,18.17,Upper,13.905,4.31,0.99,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-505297,NbSbRu,poly_electronic,23.05,Upper,13.905,4.31,2.12,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7771,Sr(CdAs)2,poly_electronic,137.1,Upper,13.905,4.31,28.58,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-9899,BaAgP,poly_electronic,28.2,Upper,13.905,4.31,3.32,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-866062,HfSiRu2,poly_electronic,51.23,Upper,13.905,4.31,8.66,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-866141,TiFe2Si,poly_electronic,37.31,Upper,13.905,4.31,5.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-9571,Ca(ZnAs)2,poly_electronic,14.4,Upper,13.905,4.31,0.11,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7173,ScSbPt,poly_electronic,19.25,Upper,13.905,4.31,1.24,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-570008,Sr3BiN,poly_electronic,20.08,Upper,13.905,4.31,1.43,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-31454,TaSbRu,poly_electronic,19.7,Upper,13.905,4.31,1.34,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-30847,TiSnPt,poly_electronic,20.81,Upper,13.905,4.31,1.6,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7430,Ca(CdSb)2,poly_electronic,39.14,Upper,13.905,4.31,5.85,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-866132,Na2TlSb,poly_electronic,36.37,Upper,13.905,4.31,5.21,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-865101,NaLi2Bi,poly_electronic,16.51,Upper,13.905,4.31,0.6,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-31149,Ca3BiN,poly_electronic,15.9,Upper,13.905,4.31,0.46,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7438,KZnSb,poly_electronic,24.78,Upper,13.905,4.31,2.52,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-7067,Ca(CdAs)2,poly_electronic,39.5,Upper,13.905,4.31,5.94,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-5967,TiCoSb,poly_electronic,20.48,Upper,13.905,4.31,1.53,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-11520,YNiSb,poly_electronic,18.75,Upper,13.905,4.31,1.12,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-14791,Ge2Te5As2,poly_electronic,64.62,Upper,13.905,4.31,11.77,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-9437,NbFeSb,poly_electronic,24.82,Upper,13.905,4.31,2.53,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-10161,KZnSb,poly_electronic,24.12,Upper,13.905,4.31,2.37,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-31235,BaNaBi,poly_electronic,15.27,Upper,13.905,4.31,0.32,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-8405,Li3LaSb2,poly_electronic,16.21,Upper,13.905,4.31,0.53,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-30459,ScNiBi,poly_electronic,22.95,Upper,13.905,4.31,2.1,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-16238,Li2AgSb,poly_electronic,212.61,Upper,13.905,4.31,46.1,High electronic polarizability / narrow-gap heavy-anion semiconductor
mp-1186,ZrS2,poly_ionic,27.85,Upper,14.9775,4.705,2.74,Strong lattice polarizability / ionic soft-mode contribution
mp-2114,YN,poly_ionic,104.58,Upper,14.9775,4.705,19.04,Strong lattice polarizability / ionic soft-mode contribution
mp-2646,Mg3Sb2,poly_ionic,17.58,Upper,14.9775,4.705,0.55,Strong lattice polarizability / ionic soft-mode contribution
