material_id,formula,band_gap,poly_total,poly_electronic,ionic_polarization_fraction,density,volume,cluster
mp-1479,BP,1.24,9.27,9.18,0.0097087378640776,2.9525,23.499701743400003,0
mp-22925,AgI,1.37,7.32,5.02,0.314207650273224,5.3243,73.2195814191,0
mp-2646,Mg3Sb2,0.22,32.38,14.8,0.5429277331686225,3.9367,133.474179494,0
mp-13033,MgTe,2.32,7.98,5.5,0.3107769423558897,3.6527,69.0566604377,0
mp-760,FeSe2,0.36,36.83,26.7,0.2750475156122726,7.0906,100.133223341,0
mp-1522,FeS2,0.87,27.48,21.06,0.2336244541484716,4.8932,81.42106939930001,0
mp-12779,CdTe,0.62,12.44,9.1,0.2684887459807074,5.4662,145.822681925,0
mp-559798,NiF2,4.8,5.2,2.51,0.5173076923076922,4.6553,68.9778629217,2
mp-7991,BN,4.16,4.52,3.46,0.2345132743362832,1.887,43.6773797461,2
mp-1602,SiS2,3.07,4.02,3.14,0.2189054726368159,1.6149,189.620986898,1
mp-22903,RbI,3.78,5.69,2.71,0.523725834797891,3.3599,104.957098894,2
mp-2815,MoS2,1.23,9.76,9.51,0.0256147540983606,4.0534,131.151054179,0
mp-1153,Li2S,3.39,7.42,3.86,0.4797843665768194,1.6293,46.8207140099,2
mp-23295,RbCl,4.84,5.65,2.28,0.5964601769911504,2.6719,75.1479181309,2
mp-1415,CaSe,2.08,12.47,5.62,0.549318364073777,3.7263,53.051373588,2
mp-827,KN3,4.16,6.21,2.47,0.6022544283413849,1.9329,139.379528874,2
mp-2341,Li3N,1.22,13.13,5.58,0.5750190403655749,1.6556,69.8615203909,2
mp-23268,NaI,3.53,8.36,3.33,0.6016746411483255,3.5723,69.6750949167,2
mp-2469,CdS,1.05,10.49,6.22,0.4070543374642516,4.5766,52.4182174245,0
mp-1087,SrS,2.5,11.87,4.65,0.6082561078348778,3.5659,55.7315376195,2
mp-1986,ZnO,0.63,11.35,6.01,0.4704845814977973,5.4449,24.8184374856,0
mp-2667,CsAu,1.02,10.21,4.99,0.5112634671890303,6.5143,84.0887507384,0
mp-2691,CdSe,0.51,12.93,8.96,0.3070378963650426,5.3008,59.952805122700006,0
mp-23210,MgCl2,5.62,5.07,2.59,0.4891518737672583,2.055,76.9298023956,2
mp-13031,MgSe,2.55,7.24,4.65,0.3577348066298342,3.175,54.0138230759,2
mp-22916,NaBr,4.09,7.3,2.8200000000000003,0.6136986301369863,3.1208,54.7485266625,2
mp-1519,CaTe,1.55,12.96,6.59,0.4915123456790123,4.2541,65.4508697092,0
mp-8041,Rb2S,1.96,6.61,3.18,0.518910741301059,2.7997,120.400478586,2
mp-22904,CaCl2,5.35,7.16,2.74,0.6173184357541899,2.1049,175.099416521,2
mp-23714,SrH2,3.15,12.24,4.08,0.6666666666666666,3.3178,179.44991098900002,2
mp-23713,CaH2,3.03,11.58,4.45,0.6157167530224525,1.9591,142.71732027299998,2
mp-510557,CsN3,4.22,7.0,2.54,0.6371428571428571,3.1565,184.052007165,2
mp-841,Li2O2,1.97,9.12,3.16,0.6535087719298246,2.2579,67.4796816976,2
mp-568619,SiC,1.75,10.49,7.08,0.325071496663489,3.1739,104.887738378,0
mp-23711,MgH2,3.63,11.04,4.05,0.6331521739130436,1.4501,120.562062681,2
mp-743,RbN3,4.17,6.16,2.46,0.6006493506493507,2.6725,158.43139513100002,2
mp-29145,H3N,4.33,2.99,2.19,0.2675585284280936,0.8446,133.930649312,2
mp-32780,AuCl,1.87,4.85,4.57,0.0577319587628866,6.8337,225.906552046,0
mp-736,Li3P,0.7000000000000001,11.41,6.87,0.3978965819456617,1.4622,117.638812633,1
mp-23715,BaH2,2.87,11.73,4.26,0.6368286445012787,4.1064,225.392332216,2
mp-24972,Fe2O3,1.53,19.87,6.21,0.6874685455460493,5.0302,105.430040065,0
mp-23189,BI3,2.68,2.94,2.77,0.0578231292517006,3.1013,419.248516628,1
mp-23214,CaCl2,5.39,7.17,2.75,0.6164574616457461,2.1205,173.81388193200002,2
mp-29443,PI2,1.93,4.25,3.79,0.108235294117647,3.3322,283.821027348,1
mp-22909,ZnCl2,4.05,5.2,2.87,0.4480769230769231,2.7546,164.305885687,2
mp-352,HfO2,4.02,18.75,4.8100000000000005,0.7434666666666666,9.9677,140.262134451,0
mp-19128,CoO,0.71,9.79,5.69,0.4187946884576098,5.1058,48.7399069997,0
mp-29266,CsS,1.71,5.86,3.0,0.4880546075085323,3.0965,176.931871642,1
mp-9252,HgS,1.69,12.33,6.58,0.4663422546634225,6.995,165.685768009,0
mp-224,WS2,1.56,9.31,9.25,0.0064446831364124,6.5764,125.219740775,0
mp-7140,SiC,2.3,10.58,7.08,0.330812854442344,3.1701,42.0055039451,2
mp-1821,WSe2,1.45,10.26,10.15,0.0107212475633528,7.8576,144.456546029,0
mp-568018,RbSb2,0.27,13.58,9.31,0.3144329896907216,4.2922,254.552186943,1
mp-2793,AuSe,0.26,11.29,10.76,0.0469441984056687,8.2239,111.4345837,0
mp-22917,CuBr,0.99,11.57,4.8,0.5851339671564391,5.1556,92.4065715356,0
mp-471,CdAs2,0.15,22.24,15.19,0.3169964028776978,5.4916,158.598820518,0
mp-9254,Al2Te5,1.04,18.62,9.01,0.5161117078410311,4.4569,257.80867658,1
mp-558071,RbS,1.7000000000000002,5.33,2.84,0.4671669793621013,2.5387,153.747367344,2
mp-602,Te2Mo,0.97,15.25,14.24,0.0662295081967213,6.9285,168.31758908,0
mp-556520,CoF2,3.07,6.24,2.61,0.5817307692307692,4.4326,72.62339140659999,2
mp-8882,GaP,1.3,12.51,10.35,0.1726618705035971,4.0101,83.3947991784,0
mp-8884,ZnTe,1.1,11.52,8.76,0.2395833333333333,5.409,118.488001162,0
mp-22888,CaBr2,4.53,7.65,3.13,0.5908496732026143,3.2269,205.721224166,2
mp-1634,MoSe2,1.42,11.73,10.66,0.0912190963341858,5.6929,148.112375589,0
mp-556911,FeF2,3.24,6.65,2.42,0.6360902255639098,4.0505,76.9424570154,2
mp-1873,ZnF2,3.48,8.14,2.56,0.6855036855036855,4.6735,73.4604470113,2
mp-8880,AlP,1.96,10.52,8.21,0.2195817490494296,2.3068,83.4378213072,0
mp-380,ZnSe,1.2,10.4,7.18,0.3096153846153846,5.0567,94.8044099269,0
mp-28248,CdI2,2.37,10.24,4.57,0.5537109375,4.9821,244.114950562,1
mp-8881,AlAs,1.69,11.55,9.5,0.1774891774891774,3.591,94.2439233584,0
mp-1591,Al4C3,1.32,17.83,8.17,0.5417835109366237,2.9309,81.5641330939,2
mp-1818,SiF4,7.72,2.17,1.63,0.2488479262672811,1.9734,87.5788872376,2
mp-28266,P2Pd,0.46,24.18,22.6,0.065343258891646,5.4312,102.95372147,0
mp-684,BaS2,1.58,10.3,4.98,0.516504854368932,3.6725,182.173441899,1
mp-555934,VF2,2.25,4.46,2.48,0.4439461883408072,3.7078,79.662409587,2
mp-8560,SF6,5.78,2.15,1.71,0.2046511627906976,2.2571,107.444948009,2
mp-560588,ZnS,2.08,9.1,5.83,0.3593406593406593,3.9915,81.0743188498,0
mp-566755,NiF2,4.8100000000000005,5.2,2.52,0.5153846153846154,4.6747,68.6912778345,2
mp-22003,NaN3,4.02,5.02,2.31,0.5398406374501993,1.7982,60.03513429270001,2
mp-23267,BeCl2,6.33,3.1,2.31,0.2548387096774193,1.6582,160.049382549,2
mp-927,CuP2,0.86,16.71,16.3,0.0245362058647516,4.2856,194.500184563,0
mp-487,MnP4,0.43,25.05,19.51,0.2211576846307385,4.0572,146.388796314,0
mp-29504,ClF,2.05,5.12,2.83,0.447265625,2.0908,172.969006,1
mp-505366,AuBr,1.69,5.37,4.8100000000000005,0.1042830540037244,7.2097,255.077110367,0
mp-27455,YCl3,4.93,4.92,2.61,0.4695121951219512,2.2994,282.011384225,2
mp-7446,Rb2S3,1.32,7.69,3.63,0.5279583875162548,2.7591,321.527892854,1
mp-7447,Rb2Se3,0.67,9.23,5.49,0.4052004333694474,3.7778,358.540836244,1
mp-7449,Cs2Se3,0.74,8.54,4.79,0.4391100702576113,4.0928,407.937132191,1
mp-7048,Al2O3,4.46,8.98,3.16,0.6481069042316259,3.5099,96.4748364448,2
mp-7029,SiO2,5.51,4.04,2.24,0.4455445544554455,2.1779,183.244567195,2
mp-554151,SiO2,5.73,3.74,2.15,0.4251336898395721,2.0609,193.642011575,2
mp-27397,IrBr3,1.56,5.5,5.16,0.0618181818181818,5.9287,241.955317102,0
mp-239,BaS3,1.37,13.58,5.94,0.5625920471281296,3.7553,206.51021701,1
mp-8943,PtF4,1.38,5.22,4.52,0.1340996168582375,6.5599,137.236190688,0
mp-2604,MgTe2,1.12,14.77,10.43,0.2938388625592417,5.1676,359.25818005,1
mp-8723,AsF5,4.6,2.35,1.82,0.225531914893617,2.7871,202.464824963,2
mp-28099,SBr,2.23,5.23,3.31,0.3671128107074569,2.434,305.544819901,1
mp-2068,RhF3,0.86,9.67,8.61,0.1096173733195449,5.2944,100.305301917,0
mp-8262,K2P3,0.71,8.48,4.8,0.4339622641509434,1.9149,296.781239141,1
mp-1106,Sr2Si,0.35,32.16,16.87,0.4754353233830846,3.3535,402.723991203,1
mp-568536,BaI2,3.05,17.76,4.34,0.7556306306306305,4.9721,391.880471391,1
mp-2400,NaS,1.23,8.23,4.08,0.5042527339003645,2.0146,181.502093245,1
mp-2552,TeO3,1.15,14.97,5.49,0.6332665330661322,5.9958,97.2640846036,0
mp-6949,InF3,4.02,6.1,2.28,0.6262295081967213,4.4451,128.367453982,2
mp-8511,PF5,7.09,2.14,1.7000000000000002,0.205607476635514,2.2865,182.96308114,2
mp-22896,LaCl3,3.65,10.22,3.74,0.6340508806262231,3.7187,219.03583951,2
mp-8289,SnF3,2.72,8.79,2.6,0.7042093287827077,3.4241,170.41869507,2
mp-23263,LaBr3,2.92,10.69,4.41,0.587464920486436,4.8719,258.099709313,1
mp-570589,SeBr,1.51,6.31,4.65,0.2630744849445325,3.6392,289.97615096,1
mp-25469,AlCl3,5.26,5.35,2.85,0.4672897196261683,2.2151,199.902781331,2
mp-558118,BeF2,8.09,3.39,1.74,0.4867256637168141,2.0749,112.862410931,2
mp-1340,Ga2Se3,1.04,12.03,7.96,0.3383208645054032,4.768,262.14516454200003,1
mp-8484,ZnO2,2.13,10.8,4.18,0.6129629629629629,5.3092,121.826762067,0
mp-871,FeSi,0.18,112.34,90.79,0.191828378137796,6.3254,88.1333635115,3
mp-559091,SiO2,5.44,3.84,2.15,0.4401041666666667,2.0432,195.322942348,2
mp-2030,RuS2,0.67,20.69,16.69,0.1933301111648139,6.0646,180.920258114,0
mp-20066,CO2,6.63,2.08,1.87,0.1009615384615384,1.4961,195.384509852,2
mp-468,AlF3,7.6,4.99,1.94,0.6112224448897795,3.0212,92.3102200416,2
mp-23297,BrF3,2.16,8.97,2.73,0.6956521739130435,3.2159,141.375171434,2
mp-1771,NO2,2.69,2.58,2.23,0.1356589147286821,1.6517,185.00605272400003,1
mp-19326,MnO2,1.0,17.32,10.14,0.4145496535796766,4.5106,128.018071886,0
mp-556197,FeF3,3.11,8.61,2.67,0.6898954703832754,3.413,109.798892089,2
mp-1880,SbF3,4.44,9.48,2.83,0.7014767932489452,4.2339,140.216301774,2
mp-27871,RhBr3,1.26,6.63,6.12,0.0769230769230769,4.9296,230.826920243,0
mp-19399,Cr2O3,2.44,11.05,6.32,0.4280542986425339,4.8929,103.163277499,0
mp-23739,SiH4,6.5600000000000005,2.47,2.22,0.1012145748987854,0.747,285.58425606,1
mp-1707,BaN6,3.82,7.57,2.98,0.6063408190224571,3.0917,237.796669685,2
mp-504769,N2O5,0.66,4.01,3.03,0.2443890274314214,2.011,178.37507088400002,1
mp-1317,CoSb3,0.17,92.27,81.92,0.1121708030779234,7.4408,378.679899767,3
mp-28395,B6P,2.48,7.82,7.53,0.037084398976982,2.5887,122.945302921,0
mp-624,B6As,2.65,8.08,7.67,0.0507425742574257,3.5523,130.68186168,0
mp-988,Si3N4,4.25,8.16,4.26,0.4779411764705882,3.1342,148.648834285,2
mp-18759,Mn3O4,0.6900000000000001,12.69,6.22,0.5098502758077226,4.5928,165.455008275,0
mp-25620,V2O5,2.16,13.67,4.88,0.6430138990490124,3.0539,197.794363967,2
mp-23237,BiF3,4.68,41.19,3.54,0.9140568099053168,7.5808,233.041239857,2
mp-1346,B6O,1.85,6.4,5.75,0.1015625,2.5959,103.448871661,0
mp-1582,As2O3,4.03,6.48,3.52,0.4567901234567901,3.6168,363.328413265,1
mp-28027,AsF3,5.36,5.24,2.19,0.58206106870229,3.0634,286.027405125,2
mp-306,B2O3,6.3,4.79,2.72,0.4321503131524008,2.3437,147.972053829,2
mp-730,P2Pt,1.02,22.83,19.65,0.1392904073587385,8.9578,190.583786142,0
mp-23291,PbCl2,3.79,34.55,4.71,0.8636758321273518,5.5349,333.73524074,1
mp-554089,SiO2,5.66,3.99,2.25,0.4360902255639097,2.2029,181.16394285400003,2
mp-409,NaS,0.87,7.43,3.69,0.5033647375504711,1.9892,275.730756016,1
mp-7440,NaP,0.87,15.33,8.18,0.4664057403783431,2.0525,349.26599227400004,1
mp-7457,SnF2,3.25,15.2,3.32,0.7815789473684212,4.4809,232.288389923,2
mp-2858,ZrO2,3.47,21.28,5.35,0.7485902255639098,5.5636,147.11041008,2
mp-2632,TlF3,1.26,15.97,3.89,0.7564182842830307,8.0235,216.374883843,0
mp-27488,Ta3N5,1.21,48.48,10.83,0.7766089108910891,9.7462,208.844022617,0
mp-570553,FeP4,0.8,23.67,19.47,0.1774397972116603,4.0883,292.018393443,1
mp-555235,SiO2,5.5,3.9,2.17,0.4435897435897435,2.0758,192.255006826,2
mp-13682,PdS2,0.6000000000000001,11.54,10.9,0.0554592720970537,4.2763,264.892581423,1
mp-9062,RbS,1.56,6.24,3.04,0.5128205128205129,2.7142,431.417022128,1
mp-1345,CaP,0.34,13.22,8.2,0.3797276853252647,2.4336,290.887168298,1
mp-22908,BiCl3,3.35,60.46,3.93,0.9349983460138936,4.1803,501.037566365,1
mp-23312,MoBr3,0.6900000000000001,5.23,4.51,0.1376673040152963,3.9435,565.372383718,1
mp-9063,RbSe,0.91,6.27,3.36,0.4641148325358852,3.3481,489.339770166,1
mp-23280,AsCl3,3.99,3.3,2.47,0.2515151515151515,2.0685,582.085308971,1
mp-1943,GaSe,1.24,8.61,6.49,0.2462253193960511,4.4084,224.03771484900005,1
mp-7456,SnF2,3.26,14.87,3.33,0.7760591795561533,4.4927,231.678387885,2
mp-29422,HfCl4,4.16,4.54,2.71,0.4030837004405286,3.2182,330.524991442,1
mp-9984,SnS2,1.49,12.48,6.12,0.5096153846153846,3.8408,158.089253408,0
mp-9816,GeF4,5.5,2.73,1.79,0.3443223443223443,2.7238,90.6071718993,2
mp-1224,HgO,1.19,9.78,5.59,0.4284253578732107,9.849,146.066700016,0
mp-558836,MoF6,4.25,2.56,1.92,0.25,2.4357,143.12250988,2
mp-9920,TiS3,0.23,14.62,10.04,0.3132694938440493,2.9406,162.684988962,0
mp-557308,ZnS,2.02,9.39,5.99,0.3620873269435569,3.9935,405.165398362,1
mp-9064,RbTe,0.43,6.77,4.2,0.379615952732644,3.5972,590.136084712,1
mp-561664,TeF4,4.02,10.99,2.59,0.7643312101910829,3.9639,341.15010704,1
mp-1922,RuSe2,0.31,25.71,19.58,0.2384286269933877,7.9311,216.91832636,0
mp-23230,PCl3,4.03,2.76,2.31,0.1630434782608696,1.5443,590.6372740019999,1
mp-9889,GaS,1.86,7.65,5.36,0.2993464052287581,3.3919,99.6589897571,0
mp-2418,PdSe2,0.51,14.4,13.42,0.0680555555555555,5.9371,295.75758575,0
mp-27529,PI3,2.27,4.11,3.64,0.1143552311435523,3.3596,406.9525249830001,1
mp-7441,KP,1.03,11.24,6.41,0.4297153024911032,2.0159,461.753899157,1
mp-7595,GeF2,4.06,23.92,2.9,0.87876254180602,3.421,214.791609392,2
mp-1554,KTe,0.2,7.39,4.73,0.3599458728010826,3.1475,527.6803915219999,1
mp-9854,YP5,0.13,15.11,13.24,0.1237590999338186,3.2978,245.50007326,1
mp-10281,ZnS,2.05,9.19,5.86,0.3623503808487486,3.9937,162.057441069,0
mp-588,GaF3,4.71,6.72,2.3,0.6577380952380952,4.2421,99.2059554589,2
mp-10694,ScF3,6.07,8.36,2.23,0.7332535885167465,2.5118,67.3987702254,2
mp-30034,MgBr2,4.47,5.92,3.03,0.4881756756756757,3.3294,91.8275350322,2
mp-571035,OsCl4,0.51,5.1,4.19,0.1784313725490196,4.0,137.838276752,0
mp-541582,ReSe2,1.14,12.11,11.68,0.0355078447563996,8.3787,272.82336045200003,0
mp-1253,BaSe,1.95,14.13,5.29,0.6256192498230715,4.8056,74.7411258288,2
mp-1394,Rb2O,1.32,14.11,3.49,0.7526576895818569,3.8174,81.31547494770001,2
mp-570886,BeI2,4.07,3.97,3.19,0.1964735516372796,3.5881,243.256984517,1
mp-571166,CaBr2,4.45,7.68,3.11,0.5950520833333334,3.1953,207.756348671,2
mp-1039,MgTe,2.36,8.0,5.49,0.31375,3.6488,138.26181167299998,0
mp-2758,SrSe,2.23,11.89,5.18,0.5643397813288478,4.4172,62.626446859,2
mp-2507,GaS,1.88,7.57,5.4,0.2866578599735799,3.4056,198.511437489,1
mp-720,TlF,3.2,20.91,3.8,0.8182687709230033,7.6252,194.578884351,0
mp-568656,SiC,2.01,10.52,7.12,0.3231939163498099,3.1719,209.90929789,1
mp-562100,NbS3,0.4,10.26,9.41,0.0828460038986354,3.8361,327.398254197,1
mp-9947,SiC,1.85,10.83,7.39,0.3176361957525392,3.1714,146.960668927,0
mp-29172,SeF4,4.14,6.68,2.31,0.6541916167664671,2.9865,344.649538152,1
mp-9946,ZnS,2.04,9.23,5.87,0.3640303358613217,3.9945,243.037074537,1
mp-539,Ga2S3,1.7000000000000002,10.23,5.87,0.426197458455523,3.4363,227.726767026,1
mp-7667,K2S3,1.29,8.01,3.89,0.5143570536828964,2.0321,284.988153443,1
mp-2517,Ca2Si,0.29,29.42,15.76,0.4643099932019034,2.1652,332.052954111,1
mp-566285,FeF3,2.68,6.15,2.22,0.6390243902439025,2.6035,287.876780371,1
mp-22872,SbCl3,3.74,7.67,2.95,0.6153846153846153,2.6287,576.387265231,1
mp-2160,Sb2Se3,0.76,63.53,15.76,0.7519282228868251,5.3422,597.341134374,1
mp-22855,HgCl2,2.87,5.14,3.08,0.4007782101167315,4.6027,391.783508227,1
mp-2184,As2O3,4.01,3.83,2.8,0.2689295039164491,3.2954,398.766445056,1
mp-7623,MgAs4,0.81,17.43,13.88,0.2036718301778542,4.4609,482.420390621,1
mp-22889,ZnCl2,4.04,5.12,2.81,0.451171875,2.6747,338.431709671,1
mp-30106,AsCl5,1.44,3.07,2.54,0.1726384364820847,1.9772,423.565823707,1
mp-561258,ZnS,2.03,9.29,5.91,0.3638320775026911,3.9947,405.046032146,1
mp-17173,Rh2S3,0.19,27.31,25.29,0.0739655803734895,6.2411,321.405483849,0
mp-568233,CdI2,2.37,10.54,4.68,0.5559772296015181,5.0614,240.292057403,1
mp-713,KAs,0.67,12.8,7.79,0.3914062499999999,2.8849,525.035281089,1
mp-13456,ZnS,2.04,9.27,5.9,0.3635382955771306,3.9945,202.530060917,1
mp-23184,BCl3,4.71,2.2,2.03,0.0772727272727272,1.3986,278.214474594,1
mp-19795,InS,1.35,15.16,8.77,0.4215039577836411,4.7571,205.081573995,0
mp-7709,ZnF2,3.56,8.38,2.55,0.6957040572792362,4.7509,144.529320169,2
mp-1958,SrTe,1.76,12.4,5.9,0.5241935483870968,4.702,76.0067008889,0
mp-1541,BeSe,2.67,7.72,6.0,0.2227979274611399,4.1954,34.8236819391,0
mp-252,BeTe,2.02,8.5,7.41,0.128235294117647,4.9851,45.5055164445,0
mp-7826,HgO,1.31,10.33,5.58,0.4598257502420135,9.8588,109.44162425,0
mp-2076,ZrSe2,0.33,58.33,12.3,0.7891308074747129,4.9357,83.8287930779,0
mp-11327,Rb2Se,1.8,6.79,3.31,0.5125184094256259,3.0979,133.956580025,2
mp-7808,BaP3,0.5700000000000001,16.29,10.02,0.3848987108655617,3.7672,202.982679409,1
mp-30139,BeBr2,5.18,3.23,2.51,0.2229102167182662,2.7557,203.45737488,2
mp-30373,RbAu,0.37,9.83,5.29,0.461851475076297,6.3211,74.1955325029,0
mp-557835,TlF,2.99,57.69,4.02,0.9303172126885076,7.9533,93.2769041048,0
mp-11714,SiC,2.22,10.54,7.13,0.3235294117647059,3.1719,83.96315911399999,0
mp-550172,SnO2,0.81,12.59,4.79,0.6195393169181891,6.6278,75.516858117,0
mp-27630,CrCl3,1.41,5.33,4.02,0.2457786116322702,2.6326,199.758934824,1
mp-223,GeO2,3.25,6.36,3.11,0.511006289308176,4.0431,128.9141414,2
mp-28483,WBr6,1.07,8.47,5.7,0.3270365997638724,4.4677,246.519431607,1
mp-27987,BrF5,3.44,3.16,2.18,0.310126582278481,2.8769,201.898543892,1
mp-571518,WCl6,1.92,4.94,3.55,0.2813765182186234,3.0364,216.856543826,1
mp-7812,GeO2,3.28,5.71,2.91,0.4903677758318738,3.6827,188.707766892,2
mp-7955,Li3Sb,0.48,12.39,8.29,0.33091202582728,2.9779,159.01010226399998,0
mp-402,CdP2,1.49,11.75,9.66,0.1778723404255319,4.0196,288.119460157,1
mp-19395,MnO2,1.09,14.16,8.66,0.3884180790960452,4.0034,144.237066082,0
mp-757,Li3As,0.64,12.09,7.56,0.3746898263027295,2.4549,129.522340873,0
mp-554278,TiO2,2.68,35.47,6.2,0.8252043980828869,3.6159,146.706323012,2
mp-555763,ZnS,2.06,9.34,5.73,0.386509635974304,3.9961,121.470683077,0
mp-14018,K3As,0.11,20.16,13.8,0.3154761904761904,2.0654,309.068736432,1
mp-23225,BBr3,3.83,2.37,2.22,0.0632911392405063,2.3783,349.83195613,1
mp-2008,FeAs2,0.28,48.93,30.62,0.3742080523196402,7.4242,92.0116202501,0
mp-2150,BaTe2,0.34,13.33,8.83,0.3375843960990247,5.4424,239.531538309,0
mp-2074,Li3Sb,0.7000000000000001,22.31,10.19,0.5432541461228149,3.352,70.631705341,0
mp-22691,InSe,0.54,9.68,7.18,0.2582644628099174,4.9446,130.162371176,0
mp-31040,NbCl4,1.08,6.3,3.5700000000000003,0.4333333333333333,2.5852,301.517512501,1
mp-2079,Rb2P3,0.76,8.15,4.55,0.4417177914110429,2.644,331.427650898,1
mp-7956,Na3Sb,0.4,17.54,10.98,0.3740022805017103,2.6472,239.28624744,1
mp-570219,InBr3,2.49,7.17,3.66,0.4895397489539749,4.1761,281.943152119,1
mp-557539,MoF3,3.5700000000000003,4.54,2.52,0.4449339207048458,4.0406,125.708689416,2
mp-567504,CrCl3,1.52,4.96,3.76,0.2419354838709677,2.4614,213.650284503,1
mp-13868,PdF4,0.71,6.22,5.5,0.1157556270096463,4.4734,135.42376469,0
mp-365,MgB4,0.36,24.54,11.61,0.5268948655256723,2.5043,179.15198638099997,1
mp-567505,SiC,1.78,10.49,7.1,0.3231649189704481,3.1696,168.046254141,1
mp-13852,Ge3N4,1.89,10.21,5.16,0.494613124387855,5.1221,177.60490853,0
